Accidentes de tránsito terrestre
,

Consulta de: Accidentes de tránsito   Por: Año de ocurrencia   Según: Ent y mun de ocurrencia
 , Total, Aguascalientes, Baja California, Baja California Sur, Campeche, Coahuila de Zaragoza, Colima, Chiapas, Chihuahua, Ciudad de México, Azcapotzalco, Coyoacán, Cuajimalpa de Morelos, Gustavo A. Madero, Iztacalco, Iztapalapa, La Magdalena Contreras, Milpa Alta, Álvaro Obregón, Tláhuac, Tlalpan, Xochimilco, Benito Juárez, Cuauhtémoc, Miguel Hidalgo, Venustiano Carranza, Durango, Guanajuato, Guerrero, Hidalgo, Jalisco, México, Michoacán de Ocampo, Morelos, Nayarit, Nuevo León, Oaxaca, Puebla, Querétaro, Quintana Roo, San Luis Potosí, Sinaloa, Sonora, Tabasco, Tamaulipas, Tlaxcala, Veracruz de Ignacio de la Llave, Yucatán, Zacatecas
 1997,"248,114","3,864","12,467","2,726", 800,"13,557","1,604","2,552","29,230","14,253", 705,"1,040", 332, 800, 906, 585, 220, 148,"1,295", 288, 864, 206,"1,771","2,311","1,679","1,103","6,072","10,137","2,819","2,203","22,221","6,830","3,877", 735,"1,001","44,778","2,135","1,615","3,097","4,508","4,669","9,789","15,499","3,246","10,150", 297,"4,866","4,460","2,057"
 1998,"262,687","3,863","12,170","2,656","1,567","14,623","3,092","2,338","31,916","11,820", 765,"1,087", 332,"1,242", 696, 492, 270, 118, 805, 313, 436, 249,"1,420","1,171","1,423","1,001","6,238","10,312","2,414","1,989","20,532","10,265","4,836", 709,"1,084","55,619","2,291","1,732","3,161","4,143","5,562","6,281","16,955","2,748","11,042", 276,"5,092","3,600","1,761"
 1999,"285,494","4,263","15,690","3,037","2,099","14,613","3,403","1,378","37,396","10,512", 448,"1,238", 411, 464, 115, 742, 210, 105, 883, 277, 955, 357,"1,672", 562,"1,495", 578,"6,803","11,346","2,414","2,260","29,325","14,122","5,607", 907,"1,050","45,738","2,262","1,709","4,103","4,866","5,716","8,638","15,799","3,372","13,353", 731,"6,737","4,009","2,236"
 2000,"311,938","4,967","13,543","3,143","2,296","17,026","3,982","2,922","39,278","10,990", 456,"1,026", 281, 627, 735,"1,203", 224, 107, 678, 254,"1,006", 194,"1,399", 585,"1,449", 766,"7,512","11,590","2,864","2,732","30,036","12,805","6,310","1,302","1,976","56,733","2,136","1,809","4,628","4,726","5,212","8,335","16,811","3,413","15,807","1,046","9,109","3,972","2,927"
 2001,"364,869","4,965","14,631","3,124","2,096","19,754","4,299","3,553","43,166","12,844", 538,"1,259", 152,"1,040", 696,"1,254", 142, 114,"1,051", 228, 980, 309,"1,318","1,501","1,025","1,237","8,164","13,267","3,927","3,899","33,921","13,223","7,473","2,321","2,554","75,432","2,265","7,070","6,311","5,089","5,462","9,165","17,642","3,749","18,108","1,171","9,171","4,093","2,960"
 2002,"399,002","5,344","18,519","3,067","2,110","21,063","4,131","5,160","42,742","14,917", 834,"1,169", 205,"1,285", 453,"1,655", 272, 91,"1,231", 283,"1,034", 291,"1,953","1,420","1,629","1,112","8,213","15,594","3,904","4,494","40,692","14,798","8,024","2,082","5,003","78,562","2,677","7,797","6,694","5,630","5,412","9,142","16,749","3,768","23,245","1,012","10,555","4,785","3,117"
 2003,"424,490","4,901","19,510","3,092","2,309","21,716","4,132","5,559","45,247","13,499", 765,"1,189", 205, 998, 301,"1,483", 225, 118,"1,162", 206,"1,026", 213,"1,546","1,580","1,404","1,078","8,089","18,123","4,175","5,288","45,693","12,875","8,057","2,670","5,315","80,984","2,995","13,298","8,256","5,624","5,286","8,844","16,627","4,405","27,368", 920,"11,945","4,866","2,822"
 2004,"443,607","4,162","20,461","3,305","2,234","19,728","4,329","5,429","45,070","14,115", 816,"1,305", 173,"1,030", 397,"1,760", 204, 94,"1,216", 232,"1,056", 212,"1,515","1,672","1,380","1,053","8,117","20,235","4,166","6,415","50,331","13,438","8,858","4,034","4,512","83,354","3,305","12,722","10,634","9,087","7,052","8,571","17,321","4,837","27,759", 890,"11,546","4,877","2,713"
 2005,"452,233","4,857","21,586","3,573","3,474","19,443","4,938","5,219","44,423","15,525", 881,"1,497", 153,"1,290", 387,"1,927", 208, 115,"1,302", 247,"1,012", 287,"1,552","1,886","1,544","1,237","9,421","20,521","4,183","4,970","51,519","13,066","8,731","4,384","3,477","79,570","3,363","11,349","11,055","10,054","6,920","12,381","18,119","3,818","28,211","1,082","14,335","5,236","3,430"
 2006,"471,272","5,180","21,800","4,086","4,751","23,105","4,780","4,610","43,373","16,390", 911,"1,358", 194,"1,418", 398,"2,022", 232, 106,"1,536", 329, 977, 298,"1,759","1,915","1,600","1,337","9,355","21,883","4,513","4,816","54,166","15,198","9,396","9,506","3,503","77,861","1,258","11,019","10,751","11,453","7,576","16,887","18,644","4,700","28,187", 666,"12,379","6,267","3,213"
